POINT_X,POINT_Y
30952.69272,27651.07957
30952.69272,32651.07957
25952.69272,37651.07957
30952.69272,37651.07957
25952.69272,42651.07957
30952.69272,42651.07957
40952.69272,42651.07957
45952.69272,42651.07957
25952.69272,47651.07957
30952.69272,47651.07957
40952.69272,47651.07957
-19047.30728,52651.07957
25952.69272,52651.07957
-19047.30728,57651.07957
30952.69272,57651.07957
35952.69272,57651.07957
20952.69272,62651.07957
30952.69272,62651.07957
35952.69272,62651.07957
175952.6927,62651.07957
20952.69272,67651.07957
30952.69272,67651.07957
35952.69272,67651.07957
160952.6927,67651.07957
165952.6927,67651.07957
170952.6927,67651.07957
20952.69272,72651.07957
30952.69272,72651.07957
35952.69272,72651.07957
150952.6927,72651.07957
155952.6927,72651.07957
160952.6927,72651.07957
165952.6927,72651.07957
170952.6927,72651.07957
15952.69272,77651.07957
20952.69272,77651.07957
30952.69272,77651.07957
35952.69272,77651.07957
40952.69272,77651.07957
145952.6927,77651.07957
150952.6927,77651.07957
155952.6927,77651.07957
160952.6927,77651.07957
165952.6927,77651.07957
170952.6927,77651.07957
30952.69272,82651.07957
35952.69272,82651.07957
140952.6927,82651.07957
155952.6927,82651.07957
15952.69272,87651.07957
30952.69272,87651.07957
35952.69272,87651.07957
130952.6927,87651.07957
135952.6927,87651.07957
140952.6927,87651.07957
150952.6927,87651.07957
155952.6927,87651.07957
160952.6927,87651.07957
165952.6927,87651.07957
15952.69272,92651.07957
130952.6927,92651.07957
135952.6927,92651.07957
140952.6927,92651.07957
150952.6927,92651.07957
155952.6927,92651.07957
130952.6927,97651.07957
135952.6927,97651.07957
140952.6927,97651.07957
145952.6927,97651.07957
150952.6927,97651.07957
155952.6927,97651.07957
10952.69272,102651.0796
30952.69272,102651.0796
125952.6927,102651.0796
145952.6927,102651.0796
155952.6927,102651.0796
10952.69272,107651.0796
35952.69272,107651.0796
120952.6927,107651.0796
125952.6927,107651.0796
135952.6927,107651.0796
140952.6927,107651.0796
145952.6927,107651.0796
10952.69272,112651.0796
35952.69272,112651.0796
115952.6927,112651.0796
120952.6927,112651.0796
135952.6927,112651.0796
140952.6927,112651.0796
5952.692722,117651.0796
30952.69272,117651.0796
105952.6927,117651.0796
110952.6927,117651.0796
115952.6927,117651.0796
120952.6927,117651.0796
130952.6927,117651.0796
135952.6927,117651.0796
140952.6927,117651.0796
30952.69272,122651.0796
95952.69272,122651.0796
105952.6927,122651.0796
115952.6927,122651.0796
125952.6927,122651.0796
140952.6927,122651.0796
35952.69272,127651.0796
95952.69272,127651.0796
105952.6927,127651.0796
115952.6927,127651.0796
120952.6927,127651.0796
125952.6927,127651.0796
90952.69272,132651.0796
95952.69272,132651.0796
100952.6927,132651.0796
105952.6927,132651.0796
110952.6927,132651.0796
120952.6927,132651.0796
125952.6927,132651.0796
130952.6927,132651.0796
90952.69272,137651.0796
95952.69272,137651.0796
105952.6927,137651.0796
115952.6927,137651.0796
120952.6927,137651.0796
130952.6927,137651.0796
5952.692722,142651.0796
60952.69272,142651.0796
65952.69272,142651.0796
70952.69272,142651.0796
85952.69272,142651.0796
90952.69272,142651.0796
100952.6927,142651.0796
105952.6927,142651.0796
110952.6927,142651.0796
115952.6927,142651.0796
120952.6927,142651.0796
30952.69272,147651.0796
55952.69272,147651.0796
60952.69272,147651.0796
85952.69272,147651.0796
95952.69272,147651.0796
100952.6927,147651.0796
110952.6927,147651.0796
115952.6927,147651.0796
120952.6927,147651.0796
-9047.307278,152651.0796
40952.69272,152651.0796
45952.69272,152651.0796
50952.69272,152651.0796
55952.69272,152651.0796
60952.69272,152651.0796
65952.69272,152651.0796
95952.69272,152651.0796
100952.6927,152651.0796
110952.6927,152651.0796
115952.6927,152651.0796
120952.6927,152651.0796
30952.69272,157651.0796
35952.69272,157651.0796
45952.69272,157651.0796
50952.69272,157651.0796
60952.69272,157651.0796
70952.69272,157651.0796
95952.69272,157651.0796
100952.6927,157651.0796
105952.6927,157651.0796
115952.6927,157651.0796
-14047.30728,162651.0796
30952.69272,162651.0796
35952.69272,162651.0796
40952.69272,162651.0796
45952.69272,162651.0796
50952.69272,162651.0796
55952.69272,162651.0796
60952.69272,162651.0796
95952.69272,162651.0796
105952.6927,162651.0796
110952.6927,162651.0796
35952.69272,167651.0796
40952.69272,167651.0796
45952.69272,167651.0796
75952.69272,167651.0796
105952.6927,167651.0796
5952.692722,172651.0796
35952.69272,172651.0796
40952.69272,172651.0796
-324047.3073,177651.0796
952.6927225,177651.0796
5952.692722,177651.0796
10952.69272,177651.0796
35952.69272,177651.0796
75952.69272,177651.0796
-229047.3073,182651.0796
952.6927225,182651.0796
10952.69272,182651.0796
55952.69272,182651.0796
60952.69272,182651.0796
-234047.3073,187651.0796
-229047.3073,187651.0796
10952.69272,187651.0796
15952.69272,187651.0796
55952.69272,187651.0796
75952.69272,187651.0796
140952.6927,187651.0796
145952.6927,187651.0796
-294047.3073,192651.0796
-289047.3073,192651.0796
-249047.3073,192651.0796
-234047.3073,192651.0796
-229047.3073,192651.0796
-224047.3073,192651.0796
952.6927225,192651.0796
5952.692722,192651.0796
10952.69272,192651.0796
45952.69272,192651.0796
50952.69272,192651.0796
60952.69272,192651.0796
65952.69272,192651.0796
70952.69272,192651.0796
85952.69272,192651.0796
130952.6927,192651.0796
135952.6927,192651.0796
140952.6927,192651.0796
145952.6927,192651.0796
-334047.3073,197651.0796
-329047.3073,197651.0796
-319047.3073,197651.0796
-294047.3073,197651.0796
-254047.3073,197651.0796
-249047.3073,197651.0796
-244047.3073,197651.0796
-224047.3073,197651.0796
5952.692722,197651.0796
10952.69272,197651.0796
15952.69272,197651.0796
65952.69272,197651.0796
75952.69272,197651.0796
85952.69272,197651.0796
90952.69272,197651.0796
100952.6927,197651.0796
105952.6927,197651.0796
110952.6927,197651.0796
120952.6927,197651.0796
125952.6927,197651.0796
130952.6927,197651.0796
140952.6927,197651.0796
145952.6927,197651.0796
150952.6927,197651.0796
-324047.3073,202651.0796
-319047.3073,202651.0796
-309047.3073,202651.0796
-294047.3073,202651.0796
-254047.3073,202651.0796
-244047.3073,202651.0796
-239047.3073,202651.0796
5952.692722,202651.0796
10952.69272,202651.0796
15952.69272,202651.0796
65952.69272,202651.0796
70952.69272,202651.0796
75952.69272,202651.0796
85952.69272,202651.0796
90952.69272,202651.0796
95952.69272,202651.0796
100952.6927,202651.0796
105952.6927,202651.0796
110952.6927,202651.0796
120952.6927,202651.0796
125952.6927,202651.0796
130952.6927,202651.0796
135952.6927,202651.0796
140952.6927,202651.0796
145952.6927,202651.0796
150952.6927,202651.0796
-324047.3073,207651.0796
-309047.3073,207651.0796
-304047.3073,207651.0796
-299047.3073,207651.0796
-294047.3073,207651.0796
-264047.3073,207651.0796
-259047.3073,207651.0796
-239047.3073,207651.0796
-219047.3073,207651.0796
15952.69272,207651.0796
80952.69272,207651.0796
85952.69272,207651.0796
90952.69272,207651.0796
100952.6927,207651.0796
105952.6927,207651.0796
110952.6927,207651.0796
115952.6927,207651.0796
120952.6927,207651.0796
125952.6927,207651.0796
130952.6927,207651.0796
135952.6927,207651.0796
140952.6927,207651.0796
145952.6927,207651.0796
155952.6927,207651.0796
-319047.3073,212651.0796
-314047.3073,212651.0796
-309047.3073,212651.0796
-299047.3073,212651.0796
-289047.3073,212651.0796
-284047.3073,212651.0796
-269047.3073,212651.0796
-264047.3073,212651.0796
-219047.3073,212651.0796
-184047.3073,212651.0796
5952.692722,212651.0796
10952.69272,212651.0796
15952.69272,212651.0796
75952.69272,212651.0796
85952.69272,212651.0796
95952.69272,212651.0796
100952.6927,212651.0796
105952.6927,212651.0796
110952.6927,212651.0796
115952.6927,212651.0796
120952.6927,212651.0796
125952.6927,212651.0796
130952.6927,212651.0796
135952.6927,212651.0796
140952.6927,212651.0796
-299047.3073,217651.0796
-289047.3073,217651.0796
-284047.3073,217651.0796
-279047.3073,217651.0796
-274047.3073,217651.0796
-264047.3073,217651.0796
-259047.3073,217651.0796
-189047.3073,217651.0796
-184047.3073,217651.0796
20952.69272,217651.0796
60952.69272,217651.0796
65952.69272,217651.0796
70952.69272,217651.0796
75952.69272,217651.0796
80952.69272,217651.0796
85952.69272,217651.0796
90952.69272,217651.0796
110952.6927,217651.0796
115952.6927,217651.0796
120952.6927,217651.0796
125952.6927,217651.0796
130952.6927,217651.0796
135952.6927,217651.0796
140952.6927,217651.0796
-324047.3073,222651.0796
-319047.3073,222651.0796
-314047.3073,222651.0796
-299047.3073,222651.0796
-294047.3073,222651.0796
-289047.3073,222651.0796
-279047.3073,222651.0796
-274047.3073,222651.0796
-269047.3073,222651.0796
-264047.3073,222651.0796
-204047.3073,222651.0796
-189047.3073,222651.0796
-159047.3073,222651.0796
40952.69272,222651.0796
70952.69272,222651.0796
75952.69272,222651.0796
85952.69272,222651.0796
90952.69272,222651.0796
95952.69272,222651.0796
100952.6927,222651.0796
105952.6927,222651.0796
110952.6927,222651.0796
115952.6927,222651.0796
120952.6927,222651.0796
125952.6927,222651.0796
130952.6927,222651.0796
135952.6927,222651.0796
140952.6927,222651.0796
-329047.3073,227651.0796
-324047.3073,227651.0796
-319047.3073,227651.0796
-314047.3073,227651.0796
-294047.3073,227651.0796
-274047.3073,227651.0796
-269047.3073,227651.0796
-209047.3073,227651.0796
-204047.3073,227651.0796
-159047.3073,227651.0796
35952.69272,227651.0796
40952.69272,227651.0796
60952.69272,227651.0796
70952.69272,227651.0796
75952.69272,227651.0796
80952.69272,227651.0796
85952.69272,227651.0796
90952.69272,227651.0796
95952.69272,227651.0796
100952.6927,227651.0796
105952.6927,227651.0796
115952.6927,227651.0796
120952.6927,227651.0796
130952.6927,227651.0796
135952.6927,227651.0796
-329047.3073,232651.0796
-319047.3073,232651.0796
-299047.3073,232651.0796
-294047.3073,232651.0796
-289047.3073,232651.0796
-284047.3073,232651.0796
-269047.3073,232651.0796
-249047.3073,232651.0796
-219047.3073,232651.0796
-214047.3073,232651.0796
-204047.3073,232651.0796
-169047.3073,232651.0796
-164047.3073,232651.0796
60952.69272,232651.0796
65952.69272,232651.0796
75952.69272,232651.0796
80952.69272,232651.0796
90952.69272,232651.0796
95952.69272,232651.0796
100952.6927,232651.0796
105952.6927,232651.0796
110952.6927,232651.0796
115952.6927,232651.0796
120952.6927,232651.0796
125952.6927,232651.0796
130952.6927,232651.0796
135952.6927,232651.0796
-324047.3073,237651.0796
-319047.3073,237651.0796
-294047.3073,237651.0796
-284047.3073,237651.0796
-224047.3073,237651.0796
-219047.3073,237651.0796
-214047.3073,237651.0796
-209047.3073,237651.0796
-164047.3073,237651.0796
45952.69272,237651.0796
50952.69272,237651.0796
60952.69272,237651.0796
65952.69272,237651.0796
75952.69272,237651.0796
90952.69272,237651.0796
95952.69272,237651.0796
100952.6927,237651.0796
115952.6927,237651.0796
120952.6927,237651.0796
125952.6927,237651.0796
-339047.3073,242651.0796
-319047.3073,242651.0796
-294047.3073,242651.0796
-289047.3073,242651.0796
-284047.3073,242651.0796
-224047.3073,242651.0796
-219047.3073,242651.0796
-169047.3073,242651.0796
-144047.3073,242651.0796
50952.69272,242651.0796
65952.69272,242651.0796
75952.69272,242651.0796
80952.69272,242651.0796
90952.69272,242651.0796
95952.69272,242651.0796
100952.6927,242651.0796
105952.6927,242651.0796
115952.6927,242651.0796
120952.6927,242651.0796
125952.6927,242651.0796
130952.6927,242651.0796
-319047.3073,247651.0796
-304047.3073,247651.0796
-294047.3073,247651.0796
-284047.3073,247651.0796
-224047.3073,247651.0796
-169047.3073,247651.0796
35952.69272,247651.0796
65952.69272,247651.0796
75952.69272,247651.0796
85952.69272,247651.0796
90952.69272,247651.0796
95952.69272,247651.0796
100952.6927,247651.0796
105952.6927,247651.0796
110952.6927,247651.0796
